|g|,|t|,|p|,worst_case,|s|_worst,median,|s|_median
102517,40011,4083,14.500000,268923.000000,17.400000,12.300000
129140,40012,8178,12.200000,268927.000000,6.800000,15.900000
62517,20011,4083,4.700000,128923.000000,3.600000,16.500000
169140,60012,8178,14.400000,408927.000000,8.500000,16.600000
209140,80012,8178,20.000000,548927.000000,11.700000,16.900000
222517,100011,4083,22.200000,688923.000000,19.100000,14.100000
182517,80011,4083,18.100000,548923.000000,12.300000,12.400000
142517,60011,4083,13.600000,408923.000000,10.300000,15.100000
89140,20012,8178,7.200000,128927.000000,5.700000,19.300000
249140,100012,8178,24.300000,688927.000000,18.500000,19.400000
