|g|,|t|,|p|,worst_case,|s|_worst,median,|s|_median
102517,40011,4083,15.100000,268923.000000,9.200000,15.500000
129140,40012,8178,12.100000,268927.000000,2.800000,18.700000
62517,20011,4083,5.400000,128923.000000,1.700000,12.300000
169140,60012,8178,14.700000,408927.000000,4.500000,15.800000
209140,80012,8178,18.000000,548927.000000,8.800000,17.200000
222517,100011,4083,24.500000,688923.000000,7.300000,17.900000
182517,80011,4083,19.200000,548923.000000,4.900000,14.100000
142517,60011,4083,10.500000,408923.000000,4.000000,15.200000
89140,20012,8178,9.700000,128927.000000,1.700000,18.700000
249140,100012,8178,21.100000,688927.000000,7.300000,17.900000
